id,creator_id,modifier_id,created,modified,street,extra,city,zipcode,state,country
3,1,1,2014-01-21 16:59:31.463000+11:00,2014-01-21 16:59:31.468000+11:00,17 Dick Perry Avenue ,,Kensington,6151,WA,Australia
4,1,1,2014-01-21 16:59:56.016000+11:00,2014-01-21 16:59:56.017000+11:00,Locked Bag 104,Bentley Delivery Centre,Bentley,6983,WA,Australia
5,1,1,2014-01-22 18:44:24.207000+11:00,2014-01-22 18:44:24.212000+11:00,7 Turner Avenue,,Bentley,6983,WA,Australia
6,1,1,2014-06-06 12:29:43.910000+10:00,2014-06-06 12:29:43.919000+10:00,Wildlife Place (Ocean Reef Road),PO Box 51,Wanneroo,6946,WA,Australia
7,1,1,2014-06-06 12:33:36.622000+10:00,2014-06-06 12:33:36.630000+10:00,Banksiadale Road ,,Dwellinup,6213,WA,Australia
8,1,1,2014-06-06 12:38:35.330000+10:00,2014-06-06 12:38:35.337000+10:00,Brain Street ,,Manjimup,6258,WA,Australia
9,1,1,2014-06-06 12:39:00.927000+10:00,2014-06-06 12:39:00.936000+10:00,PO Box 20,,Pemberton,6260,WA,Australia
10,1,1,2014-06-06 12:42:28.211000+10:00,2014-06-06 12:42:28.218000+10:00,Locked Bag 2,,Manjimup,6258,WA,Australia
11,1,1,2014-06-06 12:44:21.490000+10:00,2014-06-06 12:44:21.497000+10:00,14 Queen Street,,Busselton,6280,WA,Australia
12,1,1,2014-06-06 12:46:56.971000+10:00,2014-06-06 12:46:56.978000+10:00,"Lot 3, Anderson Road",Karratha Industrial Estate ,Karratha,6714,WA,Australia
13,1,1,2014-06-06 12:47:18.252000+10:00,2014-06-06 12:47:18.258000+10:00,PO Box 835,,Karratha,6714,WA,Australia
14,1,1,2014-06-06 12:49:33.116000+10:00,2014-06-06 12:49:33.123000+10:00,337 Walnut Road,,Bickley,6076,WA,Australia
15,1,1,2014-06-06 13:06:50.501000+10:00,2014-06-06 13:06:50.507000+10:00,120 Albany Highway,,Albany,6330,WA,Australia
16,4,4,2018-05-23 10:11:23.175433+10:00,2018-05-23 10:11:23.178506+10:00,20 Labouchere Rd,,South Perth,6151,WA,Australia
17,4,4,2018-05-23 10:14:58.071621+10:00,2018-05-23 10:14:58.074043+10:00,Fraser Ave,,Perth,6005,WA,Australia
18,1,1,2018-09-21 15:13:18.883135+10:00,2018-09-21 15:13:18.891136+10:00,Cnr Dodson Road and South Western Highway,PO Box 1693,Bunbury,6231,WA,Australia
19,1,1,2018-09-21 15:14:05.341399+10:00,2018-09-21 15:14:05.345369+10:00,PO Box 1693,,Bunbury,6231,WA,Australia
20,1,1,2018-09-21 15:15:44.488773+10:00,2018-09-21 15:15:44.492233+10:00,Lot 248 Ivanhoe Road,PO Box 942,Kununurra,6743,WA,Australia
